risk_type,clause
Unlimited Liability,Vendor shall be liable for any and all damages.
Unlimited Liability,Supplier assumes responsibility for all losses arising from this agreement.
Unlimited Liability,Liability under this agreement shall be unlimited.
Unlimited Liability,Contractor shall bear all financial losses regardless of cause.
Unlimited Liability,Party agrees to compensate all damages without limitation.
One Sided Termination,Company may terminate this agreement immediately without notice.
One Sided Termination,Employer may end employment at any time without prior notice.
One Sided Termination,Agreement may be terminated at the sole discretion of the company.
One Sided Termination,Service provider reserves the right to terminate services at any time.
One Sided Termination,Company may cancel this agreement without cause.
Auto Renewal,This agreement shall automatically renew for successive one year terms.
Auto Renewal,Contract automatically renews unless cancelled in writing.
Auto Renewal,Subscription shall renew annually by default.
Auto Renewal,Agreement renews automatically upon expiration.
Auto Renewal,Term shall automatically extend for an additional period.
Non Compete,Employee shall not engage in competing business for five years.
Non Compete,Employee may not work for a competitor after termination.
Non Compete,Contractor agrees not to provide services to competitors.
Non Compete,Employee is restricted from similar businesses within the region.
Non Compete,Employee shall refrain from competitive activities for three years.
Broad Indemnity,Vendor shall indemnify and hold harmless the company from all claims.
Broad Indemnity,Supplier assumes all legal liabilities arising from performance.
Broad Indemnity,Contractor agrees to defend against all third party claims.
Broad Indemnity,Party shall be responsible for all losses and liabilities.
Broad Indemnity,Vendor shall cover all costs resulting from legal actions.
Confidentiality Forever,Recipient shall maintain confidentiality indefinitely.
Confidentiality Forever,Confidentiality obligations survive forever.
Confidentiality Forever,Information disclosed shall remain confidential permanently.
Confidentiality Forever,Recipient agrees to perpetual confidentiality obligations.
Confidentiality Forever,Confidential information shall never be disclosed at any time.
Data Privacy Risk,Company may collect personal data without consent.
Data Privacy Risk,User information may be shared with third parties without notice.
Data Privacy Risk,Personal data may be retained indefinitely.
Data Privacy Risk,Data processing may occur without user approval.
Data Privacy Risk,User data may be transferred internationally without safeguards.
