contract_name,clause_number,title,text,cluster
20209161759968.pdf,1,ECI/ CEO has engaged the Recipient for ____________________,"1.	
ECI/ CEO has engaged the Recipient for ____________________ 
<< insert the services to be provided by the Recipient>> (“Services”). 
[N.B.: Details of different types of services depending on the tracks.]",2
20209161759968.pdf,2,The Recipient had represented to ECI/ CEO that it has the requisite,"2.	
The Recipient had represented to ECI/ CEO that it has the requisite 
professional and technical skills to provide the Services.",2
20209161759968.pdf,3,The Recipient shall be involved in provision of the Services to,"3.	
The Recipient shall be involved in provision of the Services to 
ECI/ CEO and shall therefore have access to certain information, 
documents, etc. provided by ECI/ CEO or otherwise. Further, 
recipient hereby expressly admits that he has gone through the Cyber 
Security Regulations of the ECI and other policies governing cyber 
security and undertakes to abide by the provisions contained therein.",2
20209161759968.pdf,4,The Recipient acknowledges that during the course of provision of,"4.	
The Recipient acknowledges that during the course of provision of 
Services by the Recipient, there shall be exchange of information, 
discussions, deliberations, negotiations, etc. amongst the Parties 
and in performance of their obligations mentioned herein, there will 
be significant flow of ideas, information, strategy, technical data/ 
information from the ECI/ CEO  to the Recipient. The Recipient 
agrees that any information disclosed to the Recipient by ECI/ CEO or 
acquired by the Recipient during such course will be used exclusively 
for the knowledge of the Recipient and shall not be divulged to any 
third party and/ or not utilized for any purpose other than for which 
it was disclosed without the prior written consent of ECI/ CEO.",2
20209161759968.pdf,5,ECI/ CEO and the Recipient have agreed to enter into and execute,"5.	
 ECI/ CEO and the Recipient have agreed to enter into and execute 
this Agreement on the terms and conditions set forth herein below. 
Recipient hereby agrees and undertakes that any sub-contracting of 
the services(governed by this agreement) shall only with prior and 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
81 / 92
express written permission of the ECI/ CEO and that the Recipient 
shall execute a separate Confidentiality and Non-Disclosure 
Agreement with the firm/ all the employees involved in the sub-
contracted delivery of Services under this Agreement. 
NOW, THEREFORE, in consideration of the mutual promises and covenants 
contained in this Agreement, the Parties hereto agree as follows:
Confidential Information",2
20209161759968.pdf,6,“Confidential Information” shall mean all confidential and proprietary,"6.	
“Confidential Information” shall mean all confidential and proprietary 
information of ECI/ CEO which includes but is not limited to:
6.1	
all Confidential information relating to the organization, 
finances, processes, specifications, methods, designs, formulae, 
technology and business activities of and concerning ECI/ CEO.
6.2	
any and all information thereof in relation to the project or 
transaction contemplated by this Agreement, additions thereto 
and materials related thereto, produced at any time by the ECI/ 
CEO. 
6.3	
all other information and material of ECI/ CEO relating 
to 
method 
of 
development/deployment, 
construction, 
manufacturing, operation, size, specification, quantity, use and 
service of equipment and components supplied to or used by 
ECI/ CEO , intellectual property including, but not limited to 
reports, process data, test data, performance data, inventions, 
trade secrets, systems software, object codes, source codes, 
copyrighted 
matters, 
methods, 
drawings, 
computation, 
calculations, computer program narration, flow charts, and all 
documentation therefore and all the components which might 
form part of confidential information and might  be disclosed.
6.4	
Any other confidential and proprietary material and 
information, disclosed by ECI/ CEO in relation to this Agreement 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
82 \ 92
whether orally or in writing; provided that with regard to any 
information shared orally by ECI/ CEO to the Recipient shall 
be notified to the Recipient in writing as confidential within 7 
days of such discussion.
6.5	
Any other information provided by ECI/ CEO to the Recipient 
or procured by the Recipient from ECI/ CEO  shall be treated 
as Confidential Information under this clause irrespective 
of the fact whether the same is designated or earmarked as 
“Confidential”/“Restricted” etc. or not by ECI/ CEO; or even if 
the same is unclassified.",2
20209161759968.pdf,7,"Unless otherwise specified by ECI/ CEO, following shall not be deemed","7.	
Unless otherwise specified by ECI/ CEO, following shall not be deemed 
to be a Confidential Information under this Agreement and Recipient 
shall have no obligation with respect to any such information which:
7.1	
was generally known to the public prior to the disclosure 
under this Agreement, provided the same is declared to be in 
the public domain by ECI/ CEO at the time of receipt of such 
information; or
7.2	
is already known to Recipient prior to the execution of this 
Agreement as demonstrated by the Recipient; or
7.3	
is received by and/or from a third party without breach 
of this Agreement or any other obligation to maintain the 
confidentiality of such information; or
7.4	
is independently developed by Recipient apart from the 
transaction as contemplated under this Agreement; or
7.5	
is approved for release by written authorization of ECI/ CEO; 
or
7.6	
is disclosed pursuant to the lawful requirement or request of a 
Governmental agency, or disclosure is required by operation 
of law provided the Recipient gives ECI/ CEO prompt notice 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
83 / 92
and assists ECI/ CEO, at ECI/ CEO’s expense, in obtaining an 
applicable protective order.
Non-Disclosure Covenant
8 	
Except as otherwise provided in this Agreement, the Recipient hereby 
agrees that in respect of all Confidential Information received from 
ECI/ CEO by way of non-disclosure pursuant to this Agreement, the 
Recipient shall:-
8.1	
keep such Confidential Information absolutely secret and in 
confidence and treat such Confidential Information and apply 
the same standard of duty and care as; the Recipient accords to 
their own Confidential Information;  
8.2	
only use Confidential Information for the permitted purpose as 
contemplated under this Agreement;
8.3	
not disclose in any manner whatsoever any Confidential 
Information to anyone except those of its directors, officers: -
8.3.1	 who need such information for the permitted purpose under 
this Agreement; and/or 
8.3.2	 are informed of the proprietary and confidential nature of the 
Information; and/or 
8.3.3	 come under the purview of this Agreement by virtue of the 
Recipient’s acceptance same.   
8.4	
not disclose in any manner whatsoever the existence of this 
Agreement, the terms contained in this Agreement or the 
exchange of information by the Parties pursuant to this 
Agreement to a third party.
8.5	
the non-disclosure obligation of the Recipient under this 
Agreement shall apply during and after the termination of the 
Agreement unless and until released in writing by ECI/ CEO 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
84 \ 92
after the expiry of the Contract for services, the Recipient 
agrees that all conditions and obligations imposed under this 
Agreement apply during the time that the Recipient has access 
to Confidential Information and at all times thereafter.",2
20209161759968.pdf,9,The Recipient further agrees not to divulge any Confidential,"9. 	
The Recipient further agrees not to divulge any Confidential 
Information or not to do any act or divulge any information of any 
nature whatsoever which shall be prejudicial to the safety or interests 
of ECI/ CEO or the Government of India including but not limited to 
those mentioned herein below: -. 
9.1	
make any sketch, plan, model, or note using the Information 
provided by ECI/ CEO which might be, directly or indirectly, 
useful to any third party;
9.2	
obtain, collect, record or publish or communicate to any other 
person any secret / official code or password, or any sketch, 
plan, model, or note or other document or information which 
might be, directly or indirectly, useful to any third party or 
which relates to a matter of disclosure of which is likely to 
affect the sovereignty, integrity or security of India or friendly 
relations with foreign States using the Information provided by 
ECI/ CEO.",2
20209161759968.pdf,10,As regards the Confidential Information and acts or information as,"10.	
As regards the Confidential Information and acts or information as 
mentioned in Clause 9 above, the Recipient hereby agrees that the 
Recipient shall not:
10.1	 communicate the Confidential Information, code or password, 
sketch, plan, model, article, note, document or information to 
any person unless authorized in writing by ECI/ CEO; or
10.2	 use the Information provided by ECI/ CEO in its possession for 
the benefit of any foreign power or in any manner prejudicial to 
the safety of the State or the Election Process; or 
NON DISCLOSURE AGREEMENT
Cyber Security Regulations of the ECI
85 / 92
10.3	 retain any Confidential Information, code or password, sketch, 
plan, model, article, note, document in its possession or control 
when it has no right to retain it, or fails to comply with all 
directions issued by ECI/ CEO  with regard to return or disposal 
thereof; or
10.4	 fail to take reasonable care of, or so conduct itself so as to 
endanger the safety of the Confidential Information, sketch, 
plan, model, note, document, official code, password or 
information provided by ECI/ CEO.
Other Obligations of the Recipient",2
20209161759968.pdf,11,The Recipient hereby acknowledges that as a result of its access to,"11.	
The Recipient hereby acknowledges that as a result of its access to 
the Confidential Information, it will occupy a position of trust and 
confidence and maintain the confidentiality of all the Confidential 
Information shared by ECI/ CEO  and without limitation of the 
foregoing, the Recipient agrees not to do the following:-
11.1	
Communicate or disclose, directly or indirectly, any of the 
Confidential Information, in full or part thereof to a third party, 
or 
11.2	
Take any other action which may lead to breach of the 
confidential and propriety nature of such Confidential 
Information provided by ECI/ CEO.",2
